disease_id,disease_name
20528,ACTH-dependent Cushing syndrome
18613,AH amyloidosis
19438,AL amyloidosis
18225,ALK-positive large B-cell lymphoma
19441,ATTRV122I amyloidosis
5629,Acanthamoeba keratitis
9410,Addison disease
11913_7088_11743_12153_7089_11194_12321_15140_4975_11561_11647_11777_12344_12609_12630_12631_14265_10422_14036_14316_100088,Alzheimer disease
11401,Alzheimer disease without neurofibrillary tangles
4095,B-cell neoplasm
16430,Balo concentric sclerosis
11822_100344_9424_909_10503_11242_15231,Bartter disease
10311,Becker muscular dystrophy
7243,Burkitt lymphoma
11751,"COPD, severe early onset"
1444,Chagas disease
705,Clostridium difficile colitis
5011_5535,Crohn disease
5532,Crohn's colitis
9050,Cushing disease due to pituitary adenoma
18912,Cushing syndrome
14394_13217_32668_12529_32669_44309_12937_13216_13964_12938_12925_7110_14245_12924_60662_32670_44310_12939_15253_11636,Diamond-Blackfan anemia
100135,Dravet syndrome
10679,Duchenne muscular dystrophy
17346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly
12817,Ewing sarcoma
10526,Fabry disease
5775,G6PD deficiency
9266_9265_9267_18150,Gaucher disease
5364,Graves disease
5109,HIV infectious disease
7699,Hashimoto thyroiditis
17989,His bundle tachycardia
4626,Hodgkin's paragranuloma
4952,Hodgkins lymphoma
7739,Huntington disease
11487_11299_11671_15548,Huntington disease-like
18425,Huntington disease-like syndrome due to C9ORF72 expansions
9100,IDDM 1
18673,IgG4-related pachymeningitis
18645,IgG4-related sclerosing cholangitis
18800,Kallmann syndrome
5055,Kaposi's sarcoma (disease)
7708,Kasabach-Merritt syndrome
18556,Lambert-Eaton myasthenic syndrome
15531_17025_18310_17036_17029,Langerhans cell histiocytosis
10788,Leber hereditary optic neuropathy
5824,Legionnaires' disease
16532,Lennox-Gastaut syndrome
19632,Lyme disease
7947,Marfan syndrome
18945,McLeod neuroacanthocytosis syndrome
7972,Meniere disease
11871_11873_9757_9756_18982_1982_20384,Niemann-Pick disease
14143_11531_14693_13186_8104_12371_14691_13379_12690_32786_12547_32839_33669_18997,Noonan syndrome
11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167,Parkinson disease
8231,Peyronie disease
8243,Pick disease
5920,Plasmodium falciparum malaria
8300,Prader-Willi syndrome
19186,Q fever
8364,Raynaud disease
5942,Reye syndrome
13276,Reynolds syndrome
2083,Richter syndrome
19618,Sheehan syndrome
10030,Sjogren syndrome
10819_11370_19353,Stargardt disease
18229,Stevens-Johnson syndrome
5525_3540,T-cell leukemia
17597,T-cell/histiocyte rich large B cell lymphoma
7661,Tourette syndrome
19444,Trichinellosis
100280,Waldenstrom macroglobulinemia
6015,Waterhouse-Friderichsen syndrome
10198,Wernicke-Korsakoff syndrome
18097,West syndrome
8679_11112_14779_11056_8680_8683_6058,Wilms tumor
10200,Wilson disease
10264,X-linked adrenal hypoplasia congenita
18544_10247,X-linked adrenoleukodystrophy
19032,X-linked intellectual disability with isolated growth hormone deficiency
10482,X-linked parkinsonism-spasticity syndrome
19610,Zollinger-Ellison syndrome
19136,Zygomycosis
11876_10826,absence epilepsy
11438,acne (disease)
19543,acquired aneurysmal subarachnoid hemorrhage
19624_15055_15056,acquired angioedema
24305,acquired hyperprolactinemia
19832,acquired pituitary hormone deficiency
9891,acquired polycythemia vera
18854,acquired purpura fulminans
19933,acromegaly
43300,actinic cheilitis
5173,actinic keratosis (disease)
5542,acute coronary syndrome
17858,acute erythroid leukemia
8294,acute intermittent porphyria
19203,acute interstitial pneumonia
15796,acute lung injury
4967,acute lymphoblastic leukemia (disease)
4948_872_4963_20511_4947_814,acute lymphoblastic/lymphocytic leukemia
20320,acute myeloblastic leukemia with maturation
5224,acute myeloblastic leukemia without maturation
15165,acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor
17894,acute myeloid leukemia with CEBPA somatic mutations
18437,acute myeloid leukemia with NPM1 somatic mutations
20316,acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)
18435,acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2)
5223,acute myeloid leukemia with minimal differentiation
18433,acute myeloid leukemia with t(6;9)(p23;q34)
18256,acute myeloid leukemia with t(8;16)(p11;p13) translocation
15166,acute myeloid leukemia with t(8;21)(q22;q22) translocation
18434,acute myeloid leukemia with t(9;11)(p22;q23)
12883,acute promyelocytic leukemia
6502,acute respiratory distress syndrome
3652,acute urate nephropathy
18532,adenocarcinoma of liver and intrahepatic biliary tract
18351,adenocarcinoma of penis
5636,adenosarcoma
2817,adrenal gland cancer
6640,adrenal gland hyperfunction
4974,adrenal gland pheochromocytoma
19801_15128_43370,adrenal insufficiency
4,adrenocortical insufficiency
15898,adrenogenital syndrome
18324,adult-onset myasthenia gravis
20333,aggressive systemic mastocytosis
5433,alcohol withdrawal
6642,alcohol withdrawal delirium
15561,aleukemic mast cell leukemia
4784,allergic asthma
15243,allergic bronchopulmonary aspergillosis
11786_5324_24332,allergic rhinitis
4907,alopecia
7082_12551_5340,alopecia areata
5644,amebiasis
1836,amenorrhea (disease)
1152,amnestic disorder
19028,amoebiasis due to Entamoeba histolytica
19065,amyloidosis (disease)
12945_11691_12077_8780_11196_27694_11951_10459_11223_11632_14223_12790_12753_13715_7103_13264_13891_14181_4976_5145_11952,amyotrophic lateral sclerosis
16684,anaplastic astrocytoma
16700,anaplastic ependymoma
16703,anaplastic oligoastrocytoma
16696,anaplastic oligodendroglioma
19154,androgen insensitivity syndrome
16705,angiocentric glioma
10481,angioedema
1868_1744_1742_1864,angle-closure glaucoma
5306_20655,ankylosing spondylitis
5351_33926,anorexia nervosa
1164,antisocial personality disorder
11918,anxiety
8187_2050_5618_5451_5371_100081_5383_1942_1098_3265_11924_12384,anxiety disorder
7345,aorta coarctation
4845,aphthous stomatitis
15909,aplastic anemia
5649,appendicitis
8450_15304,arachnoiditis
8815,argininosuccinic aciduria
7690,aromatase excess syndrome
2277,arteriosclerosis disorder
5578,arthritic joint disease
6816,arthropathy
5657_240,aspergillosis
265,aspiration pneumonia (disease)
4979,asthma
16707,astroblastoma
19781,astrocytoma (excluding glioblastoma)
5311,atherosclerosis
5642,atopic conjunctivitis
4980,atopic eczema
4981,atrial fibrillation (disease)
465,atrioventricular block (disease)
5302,"attention deficit hyperactivity disorder, inattentive type"
7743,attention deficit-hyperactivity disorder
18321,atypical juvenile parkinsonism
5260,autism (disease)
5258,autism spectrum disorder
20643,autism susceptibility 1
7179,autoimmune disease
20108_16450_19532,autoimmune hemolytic anemia
8558_19098,autoimmune thrombocytopenic
15445,autosomal dominant coarctation of aorta
19263,autosomal erythropoietic protoporphyria
9572,autosomal recessive familial Mediterranean fever
4471,bacterial arthritis
1725,balanitis xerotica obliterans
20804,basal cell carcinoma
3996,basal ganglia disease
10811,benign prostatic hyperplasia (disease)
11559_9469_19008,benign recurrent intrahepatic cholestasis
6676_24182_24183,beriberi
19402_16486,beta thalassemia
13517,beta-thalassemia HBB/LCRB
17145,beta-thalassemia and related diseases
16487,beta-thalassemia intermedia
4868,biliary tract disease
4985_693_24613_1866,bipolar disorder
5669,black piedra
6678,bladder calculus
6115,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive"
11728,blepharospasm
5382,bone Paget disease
5374,bone marrow neoplasm
2629,bone osteosarcoma
16093,borderline epithelial tumor of ovary
5498,botulism
24472,boutonneuse fever
1657,brain cancer
5299,brain ischemia
7254,breast cancer
4989,breast carcinoma
5590,breast ductal adenocarcinoma
21100,breast neoplasm
4822,bronchiectasis
3781_5607_18597,bronchitis
5683,brucellosis
2443,bruxism (disease)
18182,bullous impetigo
2026,candidiasis
5318,canker sore
9376,carbamoyl phosphate synthetase I deficiency disease
100347,carcinoid syndrome
4993,carcinoma
19086,carcinoma of esophagus
745,cardiac arrest
5693,cauda equina syndrome
3155,cavernous hemangioma
7706,cavernous hemangiomas of face-supraumbilical midline raphe syndrome
2602,central nervous system disease
22687_4742,cerebellar degeneration
2679,cerebral infarction
8948,cerebrotendinous xanthomatosis
11057,cerebrovascular disorder
2974,cervical cancer
5131,cervical carcinoma
2877,cervical carcinosarcoma
4789_1929_1930_1931,cholangitis
6698,cholecystolithiasis
6699,choledocholithiasis
12672,cholelithiasis
15766,cholera
1751,cholestasis
10917_7319_1314,chondrocalcinosis
16706,chordoid glioma of the third ventricle
4674,chorioretinitis (disease)
15908,chromomycosis
15274,chronic beryllium disease
15574,chronic cutaneous lupus erythematosus
15687,chronic eosinophilic leukemia
6147,"chronic eosinophilic leukemia, not otherwise specified"
5366,chronic hepatitis B virus infection
5354,chronic hepatitis C virus infection
3864,chronic lymphocytic leukemia/small lymphocytic lymphoma
11996,"chronic myelogenous leukemia, BCR-ABL1 positive"
5002,chronic obstructive pulmonary disease
15129_15130,chronic primary adrenal insufficiency
13024,chronic thromboembolic pulmonary hypertension
9528,chylomicron retention disease
2970,ciliary body disease
16602,citrin deficiency
8988_16603_15991,citrullinemia
9348,classic Hodgkin lymphoma
20329,"classic Hodgkin lymphoma, lymphocyte-rich type"
5005,clear cell renal carcinoma
1966_1817,closed-angle glaucoma
5706,coccidioidomycosis
5401,colonic neoplasm
5575,colorectal cancer
13099,"combined pituitary hormone deficiencies, genetic form"
1209,common wart
18712,composite hemangioendothelioma
18479_19847_23601_60783,congenital adrenal hyperplasia
9934,congenital alveolar capillary dysplasia
15403_15404_18715_18716,congenital hemangioma
15770_16553,congenital hypogonadotropic hypogonadism
44331_16408_19858_18612_16410_15792_16409,congenital hypothyroidism
19010,congenital isolated hyperinsulinism
13361,congenital prothrombin deficiency
5715,congenital toxoplasmosis
5009,congestive heart failure
2203,constipation disorder
5480,contact dermatitis
4577,corneal ulcer
5010,coronary artery disease
6716,coronary thrombosis
5724,cryptococcosis
9047,cryptorchidism (disease)
15474,cryptosporidiosis
18168_19033_18167,cutis verticis gyrata
18408,cystic echinococcosis
9061,cystic fibrosis
15484,cysticercosis
16239,cystinosis
9067_19745_19746,cystinuria
6032,cystitis
1639,deficiency anemia
2175,degeneration of macula and posterior pole
1627,dementia (disease)
2406,dermatitis
15614_6565,dermatitis herpetiformis
11292,"dermatitis, atopic"
11934_23273,dermatofibrosarcoma protuberans
8054_16367_1907,dermatomyositis
19373,desmoplastic small round cell tumor
10632_33369_33371_10472_14477_32598_10396_32768_33361_13389_14859_14392_33373_32752_32657_14593_32663_14947_13388_14377_32808_14895_30059_13387_32880_33363_32678_13989_33366_10375_13277_33362_14917_14921_14933_14942_30054_14607_14595_14133_33370_14201_32918_14949_32813_14533_14598_10246_33368_15025_14371_54845_14360_13056_13801_14718_14719_32812_32858_30072_14505_14199_14003_14328_15000_33367_33372_15002_12245_30856_32710_32725_33364_33365_14868_29138_32822_12812_32895_14625_34106_33374_100079_14916_14647_100062_25353,developmental and epileptic encephalopathy
5015,diabetes mellitus (disease)
12819,diabetic ketoacidosis
5016,diabetic nephropathy
6626,diabetic neuropathy
1583,diabetic polyneuropathy
1673,diarrheal disease
15447,differentiated thyroid carcinoma
16686,diffuse astrocytoma
7648_5017,diffuse gastric adenocarcinoma
18905_17601_6117_6268_6428,diffuse large B-cell lymphoma
17596,diffuse large B-cell lymphoma of the central nervous system
19558_4706,discoid lupus erythematosus
17306,disorder of phenylalanine metabolism
1243_1242,disseminated intravascular coagulation
11381,dominant beta-thalassemia
20386,double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis
6733,dry eye syndrome
5412,duodenal ulcer (disease)
920,duodenum cancer
1442,dysthymic disorder
16022,early myoclonic encephalopathy
10709,early-onset parkinsonism-intellectual disability syndrome
5424,elephantiasis
5440,embryonal carcinoma
18843,embryonal carcinoma of the central nervous system
5025_6669,endocarditis
12048,endogenous depression
6744,endolymphatic hydrops
11962,endometrial cancer
2447,endometrial carcinoma (disease)
5133,endometriosis (disease)
10888,endometriosis of uterus
21251,endometrium neoplasm
5746,enterobiasis
9172,enterocolitis (disease)
19122_5749_44972_15927_4806_17363,eosinophilic pneumonia
16715,ependymoblastoma
9176,epidermodysplasia verruciformis
5027,epilepsy
5754,epilepsy with generalized tonic-clonic seizures
15523,epithelioid hemangioendothelioma
17387_4060_4105_4521,epithelioid sarcoma
5362,erectile dysfunction (disease)
1266,erysipelas
6545_44719,erythema multiforme
60729_8319_1676,erythropoietic protoporphyria
20920,escherichia coli infection
7576,esophageal cancer
44782,esophageal ulcer
1409,esophagitis (disease)
7781,"essential hypertension, genetic"
5758,eunuchism
6547,exanthem (disease)
18752,exercise-induced malignant hyperthermia
18088,familial Mediterranean fever
8731,familial adrenal hypoplasia with absent pituitary luteinizing hormone
7448,familial dermatographia
8733,familial glucocorticoid deficiency
1336,familial hyperlipidemia
14250,familial hyperprolactinemia
24573,familial hypertrophic cardiomyopathy
15762_17290_18804,familial intrahepatic cholestasis
10188,familial isolated deficiency of vitamin E
8303,familial male-limited precocious puberty
2350,familial nephrotic syndrome
16248,familial ovarian cancer
17895,familial papillary or follicular thyroid carcinoma
11578,familial papillary thyroid carcinoma with renal papillary neoplasia
23122,familial prostate carcinoma
19111,familial thrombocytosis
7958_17896,familial thyroid carcinoma
16829,familial visceral myopathy
21124,female infertility
6760,fetal erythroblastosis
16688,fibrillary astrocytoma
6210_891,fibrolamellar hepatocellular carcinoma
5761,filarial elephantiasis
482,focal hand dystonia
18906,follicular lymphoma
16453,foodborne botulism
16426,fusariosis
30105_18116,galactosemia
1056,gastric cancer
4950,gastric carcinoma
18184,gastric linitis plastica
21085,gastric neoplasm
1126,gastric ulcer (disease)
5001_4966,gastritis
2269,gastroenteritis
7186,gastroesophageal reflux disease
11719,gastrointestinal stromal tumor
6769,gastroparesis (disease)
16689,gemistocytic astrocytoma
18944,gestational trophoblastic neoplasm
16682,giant cell glioblastoma
11129_9277_5041,glaucoma
18177,glioblastoma (disease)
21042,glioma
16681,gliosarcoma
18327,glomus tumor
16372,glossopharyngeal neuralgia
9294_13291_10598_13091_10362_9868_9295_9293_9290_9291_2413_2412,glycogen storage disease
5397,goiter (disease)
7681,"goiter, multinodular 1, with or without Sertoli-Leydig cell tumors"
5393,gout
20547_13730,graft versus host disease
18031,granulomatous slack skin disease
18935,hairy cell leukemia
17600,hairy cell leukemia variant
