disease_id,disease_name,rank,drugbank_id,drug_name,smiles,indication_score
15667,unclassified acute myeloid leukemia,1,DB01204,Mitoxantrone,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0.9999986886978149
15667,unclassified acute myeloid leukemia,2,DB14568,Ivosidenib,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,0.999993085861206
15667,unclassified acute myeloid leukemia,3,DB12874,Quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,0.9999921321868896
15667,unclassified acute myeloid leukemia,4,DB01177,Idarubicin,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,0.999991774559021
15667,unclassified acute myeloid leukemia,5,DB11978,Glasdegib,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,0.9999916553497314
15667,unclassified acute myeloid leukemia,6,DB00842,Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0.9999911785125732
15667,unclassified acute myeloid leukemia,7,DB00694,Daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.9999904632568359
15667,unclassified acute myeloid leukemia,8,DB00441,Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.9999860525131226
15667,unclassified acute myeloid leukemia,9,DB12141,Gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,0.9999809265136719
15667,unclassified acute myeloid leukemia,10,DB13103,GPX-150,COc1cccc2c1C(=N)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.9999780654907227
15667,unclassified acute myeloid leukemia,11,DB00997,Doxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.9999657869338989
15667,unclassified acute myeloid leukemia,12,DB02703,Fusidic acid,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,0.9999650716781616
15667,unclassified acute myeloid leukemia,13,DB06595,Midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.9999265670776367
15667,unclassified acute myeloid leukemia,14,DB00928,Azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.9999157190322876
15667,unclassified acute myeloid leukemia,15,DB13874,Enasidenib,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,0.999876856803894
15667,unclassified acute myeloid leukemia,16,DB01026,Ketoconazole,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.9998558759689331
15667,unclassified acute myeloid leukemia,17,DB01262,Decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.9997444748878479
15667,unclassified acute myeloid leukemia,18,DB00987,Cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.9996987581253052
15667,unclassified acute myeloid leukemia,19,DB00352,Tioguanine,Nc1nc(=S)c2[nH]cnc2[nH]1,0.9996330738067627
15667,unclassified acute myeloid leukemia,20,DB00442,Entecavir,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21,0.9994631409645081
15667,unclassified acute myeloid leukemia,21,DB11915,Valbenazine,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,0.9994612336158752
15667,unclassified acute myeloid leukemia,22,DB15057,NUC-1031,CC(NP(=O)(OCC1OC(n2ccc(N)nc2=O)C(F)(F)C1O)Oc1ccccc1)C(=O)OCc1ccccc1,0.9983580708503723
15667,unclassified acute myeloid leukemia,23,DB05381,Histamine,NCCc1c[nH]cn1,0.9941394329071045
15667,unclassified acute myeloid leukemia,24,DB00631,Clofarabine,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0.9939724802970886
15667,unclassified acute myeloid leukemia,25,DB06433,Tezacitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)/C2=C\F)c(=O)n1,0.988235592842102
15667,unclassified acute myeloid leukemia,26,DB12410,Sabarubicin,C[C@@H]1O[C@@H](O[C@@H]2[C@H](C)O[C@@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)C[C@@H]2O)C[C@H](N)[C@@H]1O,0.9878349900245667
15667,unclassified acute myeloid leukemia,27,DB02097,Cytidine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.985428512096405
15667,unclassified acute myeloid leukemia,28,DB05667,Levoketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.9838815927505493
15667,unclassified acute myeloid leukemia,29,DB00437,Allopurinol,Oc1ncnc2[nH]ncc12,0.9445101022720337
15667,unclassified acute myeloid leukemia,30,DB08799,Antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,0.9389880895614624
15667,unclassified acute myeloid leukemia,31,DB11703,Acalabrutinib,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,0.9243847131729126
15667,unclassified acute myeloid leukemia,32,DB02594,2'-Deoxycytidine,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.9226906895637512
