substrate_1,substrate_1_amount,substrate_2,substrate_2_amount,metal_salt_1,metal_salt_1_amount,metal_salt_2,metal_salt_2_amount,chiral_amine,chiral_amine_amount,molecular_sieve,molecular_sieve_amount,solvent,solvent_amount
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnI2,1.596 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnBr2,1.126 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,Zn(OTf)2,1.818 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,none,,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr,0.717 mg,ZnBr2,1.126 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuI,0.952 mg,ZnBr2,1.126 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,none,,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr2,1.117 mg,none,,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",37.13 mg,4A MS,20 mg,甲苯,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,Cu(OTf)2,1.808 mg,none,,"(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol",63.04 mg,4A MS,20 mg,二氯乙烷,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,AgOTf,1.285 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,none,,四氢呋喃,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,AgNTf2,1.94 mg,none,,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,33.77 mg,4A MS,20 mg,乙腈,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,Sc(OTf)3,2.461 mg,none,,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,37.61 mg,4A MS,20 mg,二氯乙烷,1 mL
