variable,type,value,unit,low,high,role,stage,active,source,descriptor__<r^2>,descriptor__<r^2>-atom0,descriptor__<r^2>-atom1,descriptor__A,descriptor__AN,descriptor__B,descriptor__Bond_dipole_bond0,descriptor__Chem_potential,descriptor__Cond_Fukui+_atom0,descriptor__Cond_Fukui+_atom1,descriptor__Cond_Fukui-_atom0,descriptor__Cond_Fukui-_atom1,descriptor__Cond_Fukui0_atom0,descriptor__Cond_Fukui0_atom1,descriptor__Cond_dual_desc_atom0,descriptor__Cond_dual_desc_atom1,descriptor__Cond_electro_idx_atom0,descriptor__Cond_electro_idx_atom1,descriptor__Cond_nucleo_idx_atom0,descriptor__Cond_nucleo_idx_atom1,descriptor__Cond_softness+_atom0,descriptor__Cond_softness+_atom1,descriptor__Cond_softness-_atom0,descriptor__Cond_softness-_atom1,descriptor__Cond_softness0_atom0,descriptor__Cond_softness0_atom1,descriptor__DI,descriptor__DN,descriptor__ES,descriptor__ET,descriptor__E_ox_potential,descriptor__E_red_potential,descriptor__Elec_hardness,descriptor__Elec_softness,descriptor__Electro_idx,descriptor__Fuzzy_bond_order_bond0,descriptor__HOMO_LUMO_energy_gap,descriptor__HOMO_ODI,descriptor__HOMO_ODI-atom0,descriptor__HOMO_ODI-atom1,descriptor__HOMO_energy,descriptor__Hirshfeld_atom0,descriptor__Hirshfeld_atom1,descriptor__LUMO_ODI,descriptor__LUMO_ODI-atom0,descriptor__LUMO_ODI-atom1,descriptor__LUMO_energy,descriptor__Laplacian_bond_order_bond0,descriptor__MPI,descriptor__Mayer_bond_order_bond0,descriptor__Molecular_ES_radius_max,descriptor__Molecular_ES_radius_min,descriptor__Molecular_all_surface_area,descriptor__Molecular_height,descriptor__Molecular_length,descriptor__Molecular_sphericity,descriptor__Molecular_volumn,descriptor__Molecular_widht,descriptor__Mulliken_Chi,descriptor__Mulliken_bond_order_bond0,descriptor__Nucleo_idx,descriptor__Relative_electro_idx_atom0,descriptor__Relative_electro_idx_atom1,descriptor__Relative_nucleo_idx_atom0,descriptor__Relative_nucleo_idx_atom1,descriptor__SA,descriptor__SB,descriptor__SPP,descriptor__VEA,descriptor__VIP,descriptor__Wiberg_bond_order_bond0,descriptor__area_nSurface,descriptor__area_pSurface,descriptor__aver_ALIE,descriptor__aver_ESP_atom0,descriptor__aver_ESP_atom1,descriptor__aver_LEA,descriptor__aver_LEAE,descriptor__aver_nESP,descriptor__aver_oESP,descriptor__aver_pESP,descriptor__bond_0,descriptor__char_balance,descriptor__charge_ADCH-atom0,descriptor__charge_ADCH-atom1,descriptor__charge_Becke-atom0,descriptor__charge_Becke-atom1,descriptor__charge_CHELPG-ESP-atom0,descriptor__charge_CHELPG-ESP-atom1,descriptor__charge_CM5-atom0,descriptor__charge_CM5-atom1,descriptor__charge_Hirshfeld-atom0,descriptor__charge_Hirshfeld-atom1,descriptor__charge_MK-ESP-atom0,descriptor__charge_MK-ESP-atom1,descriptor__charge_Modified_Mulliken_by_Bickelhaupt-atom0,descriptor__charge_Modified_Mulliken_by_Bickelhaupt-atom1,descriptor__charge_Mulliken-atom0,descriptor__charge_Mulliken-atom1,descriptor__charge_RESP-atom0,descriptor__charge_RESP-atom1,descriptor__charge_SCPA-atom0,descriptor__charge_SCPA-atom1,descriptor__dipole,descriptor__dipole-atom0,descriptor__dipole-atom1,descriptor__energy_index-atom0,descriptor__energy_index-atom1,descriptor__f(n2),descriptor__icp_atom0,descriptor__icp_atom1,descriptor__lattice_energy,descriptor__max_ESP,descriptor__max_ESP_atom0,descriptor__max_ESP_atom1,descriptor__min_ESP,descriptor__min_ESP_atom0,descriptor__min_ESP_atom1,descriptor__nD,descriptor__nu_atom0,descriptor__nu_atom1,descriptor__oxidation_state_LOBA-atom0,descriptor__oxidation_state_LOBA-atom1,descriptor__r+_in_crystal,descriptor__r+_thermo,descriptor__r-_thermo,descriptor__total_ESP-atom0,descriptor__total_ESP-atom1,descriptor__vari_ALIE,descriptor__vari_ESP_atom0,descriptor__vari_ESP_atom1,descriptor__vari_LEA,descriptor__vari_LEAE,descriptor__vari_n_ESP,descriptor__vari_o_ESP,descriptor__vari_p_ESP,descriptor__z+,descriptor__z-,descriptor__z/r_+,descriptor__z/r_-,descriptor__α,descriptor__β,descriptor__δ,descriptor__δd,descriptor__δh,descriptor__δp,descriptor__ε0,descriptor__π*
Additive,categorical,AgNO3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.9421041,,,,,,,,,,,,115,113,200,,,,,,,,,,,1,1,113,200,,,,,,,,
Additive,categorical,AlF3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438.591776,,,,,,,,,,,,54,57,126,,,,,,,,,,,3,1,19,126,,,,,,,,
Additive,categorical,AlCl3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5463.822222,,,,,,,,,,,,54,57,168,,,,,,,,,,,3,1,19,168,,,,,,,,
Additive,categorical,AlBr3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057.45054,,,,,,,,,,,,54,57,190,,,,,,,,,,,3,1,19,190,,,,,,,,
Additive,categorical,Al2(SO4)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11544,,,,,,,,,,,,54,57,218,,,,,,,,,,,3,2,19,109,,,,,,,,
Additive,categorical,Al(NO3)3_9H2O,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4891.368529,,,,,,,,,,,,54,57,200,,,,,,,,,,,3,1,19,200,,,,,,,,
Additive,categorical,Al(OAc)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4989.730322,,,,,,,,,,,,54,57,194,,,,,,,,,,,3,1,19,194,,,,,,,,
Additive,categorical,Al(OTf)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4451.067756,,,,,,,,,,,,54,57,230,,,,,,,,,,,3,1,19,230,,,,,,,,
Additive,categorical,BaF2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.722089,,,,,,,,,,,,135,143,200,,,,,,,,,,,2,1,71.5,200,,,,,,,,
Additive,categorical,BaCl2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.443802,,,,,,,,,,,,135,143,168,,,,,,,,,,,2,1,71.5,168,,,,,,,,
Additive,categorical,BaBr2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954.305657,,,,,,,,,,,,135,143,190,,,,,,,,,,,2,1,71.5,190,,,,,,,,
