chiral amine,,,,
No,cn_name,en_name,smiles,CAS No.
1,(S)-1-(2-吡咯烷甲基) 吡咯烷,(S)-(+)-1-(2-Pyrrolidinylmethyl)pyrrolidine,C1CCN(C1)C[C@@H]2CCCN2,51207-66-0
2,(S)-3-羟基吡咯烷,(S)-pyrrolidin-3-ol,C1CNC[C@H]1O,100243-39-8
3,(S)-3-羟基吡咯烷盐酸盐,(S)-pyrrolidin-3-ol hydrochloride,C1CNC[C@H]1O.Cl,122536-94-1
4,(S)-2-(吡咯烷-2-基)丙-2-醇,(S)-2-(pyrrolidin-2-yl)propan-2-ol,CC(C)([C@@H]1CCCN1)O,92053-25-3
5,"(S)-α,α-二苯基脯氨醇","(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",C1C[C@H](NC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,112068-01-6
6,"(S)-α,α-双(3,5-双(三氟甲基)苯基)-2-吡咯烷甲醇","(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol",C1C[C@H](NC1)C(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)O,848821-76-1
7,"(S)-α,α-双(3,5-二甲基苯基)-2-吡咯烷甲醇","(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",CC1=CC(=CC(=C1)C([C@@H]2CCCN2)(C3=CC(=CC(=C3)C)C)O)C,131180-63-7
8,(S)-吡咯烷-2-基-对-甲苯基甲醇,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,CC1=CC=C(C=C1)C([C@@H]2CCCN2)(C3=CC=C(C=C3)C)O,131180-52-4
9,(S)-双(4-甲氧基苯基)(吡咯烷-2-基)甲醇,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,COC1=CC=C(C=C1)C([C@@H]2CCCN2)(C3=CC=C(C=C3)OC)O,131180-57-9
10,(S)-吡咯烷-2-基双(4-(三氟甲基)苯基)甲醇,(S)-Pyrrolidin-2-ylbis(4-(trifluoromethyl)phenyl)methanol,C1C[C@H](NC1)C(C2=CC=C(C=C2)C(F)(F)F)(C3=CC=C(C=C3)C(F)(F)F)O,131180-65-9
11,(S)-二(萘-2-基)(吡咯烷-2-基)甲醇,(S)-Di(naphthalen-2-yl)(pyrrolidin-2-yl)methanol,C1C[C@H](NC1)C(C2=CC3=CC=CC=C3C=C2)(C4=CC5=CC=CC=C5C=C4)O,127986-84-9
12,(2S)-2-(二苯基((三甲基硅酯)氧基)甲基)吡咯烷," (S)-(–)-α,α-Diphenyl-2-pyrrolidinemethanol trimethylsilyl ether",C[Si](C)(C)OC([C@@H]1CCCN1)(C2=CC=CC=C2)C3=CC=CC=C3,848821-58-9
13,(S)-2-(甲氧基二苯甲基)吡咯烷,(S)-2-(Methoxydiphenylmethyl)pyrrolidine,COC([C@@H]1CCCN1)(C2=CC=CC=C2)C3=CC=CC=C3,118971-03-2
14,(S)-N-苯基吡咯烷-2-甲酰胺,L-Prolinanilide,C1C[C@H](NC1)C(=O)NC2=CC=CC=C2,64030-43-9
15,L-脯氨酰胺,L-Prolinamide,C1C[C@H](NC1)C(=O)N,7531-52-4
16,L-脯氨酰胺盐酸盐,(S)-Pyrrolidine-2-carboxamide monohydrochloride,C1C[C@H](NC1)C(=O)N.Cl,42429-27-6
17,"(R)-N-(2,6-二甲基苯基)哌啶-2-甲酰胺","(R)-N-(2,6-dimethylphenyl)piperidine-2-carboxamide",CC1=C(C(=CC=C1)C)NC(=O)[C@H]2CCCCN2,27262-43-7
18,L-脯氨酸甲酯盐酸盐,methyl L-prolinate hydrochloride,COC(=O)[C@@H]1CCCN1.Cl,2133-40-6
19,反式-4-羟基-L-脯氨酸甲酯 盐酸盐,4-Hydroxy-L-proline methyl ester hydrochloride,COC(=O)[C@@H]1C[C@H](CN1)O.Cl,40216-83-9
20,(R)-2-哌啶甲醇,(R)-piperidin-2-ylmethanol,C1CCN[C@H](C1)CO,3197-44-2
21,(R)-1-Boc-3-羟甲基哌嗪,tert-Butyl (3R)-3-(hydroxymethyl)piperazine-1-carboxylate,CC(C)(C)OC(=O)N1CCN[C@H](C1)CO,278788-66-2
solvent,,,,
No,cn_name/abbr.,en_name,smiles,CAS No.
1,乙酸乙酯/EtOAc,Ethyl Acetate,CCOC(=O)C,141-78-6
2,二甲亚砜/DMSO,Dimethyl sulfoxide,CS(=O)C,67-68-5
3,丙酮/Acetone,Acetone,CC(=O)C,67-64-1
4,"N,N-二甲基甲酰胺/DMF",Dimethylformamide,CN(C)C=O,68-12-2
5,1-甲基-2-吡咯烷酮/NMP,N-methyl-2-pyrrolidone,CN1CCCC1=O,872-50-4
6,乙腈/MeCN,Acetonitrile,CC#N,75-05-8
7,"1,4-二氧六环/Dioxane","1,4-Dioxane",C1COCCO1,123-91-1
