,r+_in_crystal,r+_thermo,r-_thermo,z+,z-,z/r_+,z/r_-,lattice_energy
ScCl3,74.5,74.5,168.0,3.0,1.0,24.8333,168.0,5101.8251
Sc(OTf)3,74.5,74.5,230.0,3.0,1.0,24.8333,230.0,4200.2475
YCl3,90.0,90.0,168.0,3.0,1.0,30.0,168.0,4843.1044
TiCl4,60.5,60.5,168.0,4.0,1.0,15.125,168.0,8932.3099
Ti[O(i-Pr)]4,60.5,60.5,140.0,4.0,1.0,15.125,140.0,9926.9034
ZrCl4,72.0,72.0,168.0,4.0,1.0,18.0,168.0,8576.7708
Zr(cp)2Cl2,72.0,72.0,190.0,4.0,1.0,18.0,190.0,7967.3387
HfCl4,71.0,71.0,168.0,4.0,1.0,17.75,168.0,8606.607
Hf(acac)4,71.0,71.0,194.0,4.0,1.0,17.75,194.0,7890.6657
VCl3,64.0,64.0,168.0,3.0,1.0,21.3333,168.0,5292.6947
VOCl3,54.0,54.0,168.0,5.0,1.0,10.8,168.0,13718.9554
NbCl5,64.0,64.0,168.0,5.0,1.0,12.8,168.0,13231.7368
TaCl5,64.0,64.0,168.0,5.0,1.0,12.8,168.0,13231.7368
CrCl2,73.0,73.0,168.0,2.0,1.0,36.5,168.0,2564.1397
CrCl3,61.5,61.5,168.0,3.0,1.0,20.5,168.0,5340.1683
Cr(acac)3,61.5,61.5,194.0,3.0,1.0,20.5,194.0,4883.1063
MoCl3,69.0,69.0,168.0,3.0,1.0,23.0,168.0,5200.1282
MoCl5,61.0,61.0,168.0,5.0,1.0,12.2,168.0,13374.4017
WCl5,62.0,62.0,168.0,5.0,1.0,12.4,168.0,13326.5217
WCl6,60.0,60.0,168.0,6.0,1.0,10.0,168.0,18791.6551
MnCl2,83.0,83.0,168.0,2.0,1.0,41.5,168.0,2478.3702
Mn(OTf)2,83.0,83.0,230.0,2.0,1.0,41.5,230.0,2050.1812
Mn(acac)3,64.5,64.5,194.0,3.0,1.0,21.5,194.0,4835.1799
CoCl2,74.5,74.5,168.0,2.0,1.0,37.25,168.0,2691.0
CoI2,74.5,74.5,211.0,2.0,1.0,37.25,211.0,2545.0
Co(acac)2,74.5,74.5,194.0,2.0,1.0,37.25,194.0,2340.9007
Co(PPh3)2Cl2,74.5,74.5,168.0,2.0,1.0,37.25,168.0,2550.9125
FeCl2,78.0,78.0,168.0,2.0,1.0,39.0,168.0,2631.0
FeCl3,64.5,64.5,168.0,3.0,1.0,21.5,168.0,5359.0
FeBr2,78.0,78.0,190.0,2.0,1.0,39.0,190.0,2569.0
