,ε0,nD,f_n2,DI,ES,ET,AN,DN,A,B,SPP,SB,SA,α,β,π*,δ,δd,δp,δh,space_no,smiles_len,has_smiles
EtOAc,6.02,1.3724,0.18,0.62,0.6,38.1,9.3,17.1,0.0,0.45,0.76,0.45,0.0,0.0,0.45,0.55,9.1,7.44,2.6,4.5,1.0,9.0,1.0
DMSO,46.7,1.4793,0.23,0.84,1.0,45.1,19.3,29.8,0.0,0.76,1.0,0.78,0.0,0.0,0.76,1.0,13.0,9.0,8.0,5.0,2.0,7.0,1.0
Acetone,20.7,1.3588,0.179,0.63,0.7,42.2,12.5,17.0,0.0,0.48,0.78,0.53,0.0,0.0,0.48,0.71,9.77,7.58,5.1,3.4,3.0,7.0,1.0
DMF,36.71,1.4305,0.205,0.78,0.87,43.8,16.0,26.6,0.3,0.93,0.95,0.61,0.03,0.0,0.69,0.88,12.16,8.51,6.7,5.52,4.0,8.0,1.0
NMP,32.2,1.47,0.22,0.82,0.92,43.8,13.3,27.3,0.0,0.77,0.92,0.74,0.0,0.0,0.77,0.92,11.3,8.8,6.0,3.5,5.0,10.0,1.0
MeCN,38.8,1.3441,0.175,0.67,0.84,45.6,18.9,14.1,0.37,0.86,0.9,0.29,0.04,0.19,0.4,0.75,11.93,7.48,8.8,2.98,6.0,4.0,1.0
Dioxane,2.21,1.4224,0.203,0.78,0.45,36.0,10.8,14.8,0.0,0.37,0.55,0.47,0.0,0.0,0.37,0.55,10.0,9.0,1.8,3.6,7.0,8.0,1.0
THF,7.58,1.4072,0.197,0.75,0.47,37.4,8.0,20.0,0.17,0.67,0.84,0.59,0.0,0.0,0.55,0.58,9.51,8.21,2.79,3.91,8.0,7.0,1.0
Benzene,2.28,1.5011,0.244,0.86,0.38,34.3,8.2,0.1,0.0,0.1,0.59,0.1,0.0,0.0,0.1,0.59,9.15,8.95,0.6,1.0,9.0,11.0,1.0
Tol,2.38,1.4969,0.242,0.86,0.4,33.9,8.2,0.1,0.0,0.11,0.6,0.11,0.0,0.0,0.11,0.54,8.91,8.82,0.7,1.0,10.0,12.0,1.0
PhCl,5.62,1.5248,0.257,0.88,0.5,37.5,9.5,0.0,0.0,0.07,0.71,0.07,0.0,0.0,0.07,0.71,9.55,9.28,2.0,1.0,11.0,13.0,1.0
DCE,10.36,1.4438,0.21,0.8,0.74,41.3,16.7,0.0,0.3,0.82,0.89,0.13,0.03,0.0,0.1,0.81,9.06,8.12,4.01,0.2,12.0,8.0,1.0
MeOH,32.6,1.3288,0.169,0.66,0.78,55.4,41.3,19.0,0.43,0.47,0.86,0.62,0.43,0.43,0.47,0.6,14.28,7.42,6.0,10.9,13.0,2.0,1.0
EtOH,24.6,1.3614,0.176,0.69,0.65,51.9,37.1,19.2,0.37,0.48,0.85,0.77,0.37,0.37,0.48,0.54,12.91,7.73,4.3,9.5,14.0,3.0,1.0
iPrOH,18.3,1.3776,0.181,0.7,0.55,48.4,33.5,20.0,0.33,0.56,0.82,0.84,0.33,0.33,0.56,0.48,11.51,7.7,3.0,8.0,15.0,6.0,1.0
tBuOH,12.5,1.3878,0.184,0.71,0.49,43.3,27.1,20.0,0.31,0.6,0.79,0.93,0.31,0.31,0.6,0.41,10.62,7.78,2.4,6.0,16.0,9.0,1.0
HFIP,16.7,1.275,0.143,0.6,0.75,65.3,48.0,0.0,1.96,0.0,0.96,0.0,1.96,1.96,0.0,0.65,12.7,6.8,4.3,9.8,17.0,22.0,1.0
TFE,26.7,1.291,0.15,0.62,0.76,59.8,43.0,0.0,1.51,0.0,0.91,0.0,1.51,1.51,0.0,0.73,12.4,7.6,4.5,8.8,18.0,12.0,1.0
