batch_id,tempo,additive,ratio,solvent,volume,yield,select_tag
0,2,CaSO4,eq_2,EtOH,v_3,0,TRUE
0,2,Sc2(SO4)3_8H2O,eq_3,Cyhex,v_4,0,TRUE
0,5,CoCl2,eq_4,Toluene,v_5,0,TRUE
0,2,Na3PO4,eq_4,dioxane,v_3,0,TRUE
0,8,(NH4)2SO4,eq_4,CHCl3,v_1,0,TRUE
0,5,K2CO3,eq_6,Cyhex,v_2,0,TRUE
0,5,MgCl2,eq_2,EtOH,v_3,0,TRUE
0,2,K2SO4,eq_7,Benzene,v_1,0,TRUE
0,8,CuCl,eq_5,Et2O,v_2,0,TRUE
0,6,CaCO3,eq_1,Et2O,v_4,0,TRUE
1,3,AgNO3,eq_1,DCE,v_1,0,TRUE
1,4,Al(OAc)3,eq_1,DCE,v_1,0,TRUE
1,5,K3PO4,eq_1,DCE,v_1,0,TRUE
1,6,CsBr,eq_1,DCE,v_1,17,TRUE
1,7,Ca3(PO4)2,eq_1,DCE,v_1,0,TRUE
1,8,Cs2CO3,eq_1,tBuOH,v_1,0,TRUE
1,2,CsCl,eq_8,DMSO,v_5,0,TRUE
1,6,MgF2,eq_5,MeOH,v_5,0,TRUE
1,4,FeCl3,eq_1,DCM,v_2,0,TRUE
1,2,Ga(OTf)3,eq_8,Et2O,v_1,0,TRUE
2,6,CsBr,eq_1,DCE,v_1,32,TRUE
2,6,KBr,eq_1,DCE,v_1,43,TRUE
2,6,CsI,eq_1,DCE,v_1,86,TRUE
2,6,CsCl,eq_1,DCE,v_1,89,TRUE
2,6,KNO3,eq_1,DCE,v_1,73,TRUE
2,6,CsBr,eq_1,DCE,v_2,30,TRUE
2,6,K2CO3,eq_1,DCE,v_1,16,TRUE
2,6,KBF4,eq_1,DCE,v_1,72,TRUE
2,6,CsCl,eq_1,DCE,v_2,89,TRUE
2,6,KI,eq_1,DCE,v_1,40,TRUE
