,dummy
"10 mol% metal salt cocatalyst (various salts screened: e.g., Fe(NO3)3·9H2O, Cu(NO3)2·3H2O, FeCl3·6H2O, Zn(NO3)2·6H2O)",0
CsCl (10 mol%),0
Cu(NO3)2·3H2O,0
Fe(NO3)3·9H2O,0
Fe(NO3)3·9H2O (10 mol%),0
"Fe(NO3)3·9H2O (10 mol%, 0.02 mmol)",0
Fe3+,0
"Fe3+ (catalyst/coordination), H+ (acid), NO2- (nitrite, oxidant), O2 (reoxidant/regenerator)",0
FeCl3·6H2O,0
H+,0
"HNO3 (conc., 30 mol%)",0
"HNO3 (conc., 30 mol%); NaCl (10 mol%)",0
KBr,0
KBr (10 mol%),0
KCl (10 mol%),0
KF·2H2O,0
KI,0
KNO2 (10 mol%),0
LiCl·H2O (10 mol%),0
NaCl,0
NaCl (0 equiv),0
NaCl (10 mol%),0
NaCl (5 mol%),0
NaCl; Fe(NO3)3·9H2O,0
NaNO2,0
NaNO2 (8 mol%),0
NaNO2 (or NaCl),0
NaNO3,0
"NaNO3, NaCl",0
RbCl (10 mol%),0
"TBN (tert-butyl nitrite, 10 mol%)",0
Zn(NO3)2·6H2O,0
unspecified additive (10 mol%),0
"varies (NaCl, Fe(NO3)3·9H2O, NaNO3 reported in different entries)",0
