amine_smiles,atoms_list,prop
[NH3+][C@H](CN1CCOCC1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCOCC1)C23C[C@H]4C[C@H](C[C@H](C4)C3)C2,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCOCC1)C2=CC=CC=C2,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCOCC1)CC2=CC=CC=C2,"[1,2,3,4]","(1,1)"
CC(C)([C@H]([NH+](C)C)CN1CCOCC1)C,"[5,4,8,9]","(1,1)"
[NH3+][C@H](CN1CCOCC1)C(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C1=CC=C(Br)C=C1)C2=CC=C(Br)C=C2)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCS(CC1)(=O)=O)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](C(C)(C)C)CN1CCSCC1,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN(CCOC)CCOC)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCC(Cl)CC1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCOC[C@@H]1C)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCCCC1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN(C1)CC1(F)F)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCC(F)(F)CC1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCOC1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1C[C@H](C)O[C@H](C)C1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC12C[C@H]3C[C@H](C[C@H](C3)C2)C1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1CCC(F)(F)C1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C)(C)C)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN(C)C1=CC=NC=C1)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN(C)C)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2)C(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN1C=[N+](C)C=C1)C(C)(C)C,"[1,2,3,4]","(2,1)"
[NH3+][C@H](CNC(C1=CC=CC=C1)C2=CC=CC=C2)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](C1[N@](CC2)CC[C@H]2C1)C3=CC=CC4=CC=C(OC)C=C43,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CN(C)C)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2)C(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@H](CNC(C1=CC(C=CC=C2)=C2C=C1)C3=CC=C(C=CC=C4)C4=C3)C(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@@H]1CCCC[C@H]1N(CC2=CC=CC=C2)CC3=CC=CC=C3,"[1,2,7,8]","(1,1)"
[NH3+][C@H](CNC(C1=CC(F)=CC(F)=C1)C2=CC(F)=CC(F)=C2)C(C)(C)C,"[1,2,3,4]","(1,1)"
[NH3+][C@@H]1CCCC[C@H]1NC(C(F)(F)F)=O,"[1,2,7,8]","(1,1)"
