,cobalt_cat_smiles,prop
0,CC1(C)[N+]2=CC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3O[Co-2]42OC5=C(C(C)(C)C)C=C(C(C)(C)C)C=C5C=[N+]4C1(C)C,"(0,4)"
1,CC(C1=C2C(C=[N+]3[C@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)[N+]6=CC7=CC(C(C)(C)C)=CC(C(C)(C)C)=C7O[Co-2]36O2)=CC(C(C)(C)C)=C1)(C)C,"(0,4)"
2,CC(C1=C2C(C=[N+]3CC[N+]4=CC5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5O[Co-2]34O2)=CC(C(C)(C)C)=C1)(C)C,"(0,4)"
3,CC(C1=C2C(C=[N+]3CCC[N+]4=CC5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5O[Co-2]34O2)=CC(C(C)(C)C)=C1)(C)C,"(0,4)"
4,O=[N+](C1=CC=C2O[Co-2]34OC5=CC=C([N+]([O-])=O)C=C5C=[N+]3CC[N+]4=CC2=C1)[O-],"(0,4)"
5,ClC1=CC(Cl)=C2O[Co-2]34OC5=C(Cl)C=C(Cl)C=C5C=[N+]3CC[N+]4=CC2=C1,"(0,4)"
6,C1(C=CC=C2)=C2C=C3C(C=[N+]4CC[N+]5=CC6=CC7=C(C=CC=C7)C=C6O[Co-2]45O3)=C1,"(0,4)"
7,CC(C1=C2C(C=[N+]3CC[N+]4=CC5=CC(OC)=CC(C(C)(C)C)=C5O[Co-2]34O2)=CC(OC)=C1)(C)C,"(0,2)"
8,CC(C1=C2C(C=[N+]3C4=C(C=CC=C4)[N+]5=CC6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6O[Co-2]35O2)=CC(C(C)(C)C)=C1)(C)C,"(0,4)"
10,Cl[Co-2]1(Cl)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)CC[P+]1(C4=CC=CC=C4)C5=CC=CC=C5,"(0,4)"
11,Cl[Co-2]Cl,"(0,2)"
12,Cl[Mn-2]123N4C(C(C5=CC=CC=C5)=C6[N+]2=C7C=C6)=CC=C4C(C8=CC=CC=C8)=C9C=CC(C(C%10=CC=CC=C%10)=C%11N3C(C=C%11)=C7C%12=CC=CC=C%12)=[N+]91,"(0,1)"
13,CC(C)(C)C1=C(O[Mn-2]23(Cl)OC4=C5C=C(C(C)(C)C)C=C4C(C)(C)C)C(C=[N+]2[C@H](CCCC6)[C@@H]6[N+]3=C5)=CC(C(C)(C)C)=C1,"(0,1)"
