SMILES,Molecule,Stage1,Stage2,Stage3
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-1·TfOH,TRUE,TRUE,TRUE
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,cat-1·TfaOH,TRUE,TRUE,TRUE
CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cat-1·Tf2NH,TRUE,TRUE,TRUE
CC(=O)[O-].CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C,cat-1·AcOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,cat-2·TfOH,FALSE,FALSE,TRUE
CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,cat-2·TfaOH,TRUE,TRUE,TRUE
CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-3·TfOH,TRUE,TRUE,FALSE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,cat-4·TfOH,TRUE,TRUE,TRUE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)c1ccccc1,cat-5·TfOH,TRUE,TRUE,TRUE
O=S(=O)([O-])C(F)(F)F.[NH3+][C@@H](Cc1ccccc1)CN1CCOCC1,cat-6·TfOH,TRUE,TRUE,TRUE
C[NH+](C)[C@H](CN1CCOCC1)C(C)(C)C.O=S(=O)([O-])C(F)(F)F,cat-7·TfOH,TRUE,TRUE,TRUE
CC(C)[C@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-8·TfOH,TRUE,TRUE,TRUE
COC(c1ccccc1)(c1ccccc1)[C@@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,cat-9·TfOH,TRUE,FALSE,FALSE
CC(C)(C)[C@H]([NH3+])CNC(c1ccc(Br)cc1)c1ccc(Br)cc1.O=S(=O)([O-])C(F)(F)F,cat-10·TfOH,TRUE,TRUE,TRUE
