SMILES,Molecule,Stage1,Stage2,Stage3
Cc1cc(C)[n+](F)c(C)c1.O=S(=O)([O-])C(F)(F)F,F-1·OTf,True,True,True
F[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,F-2·Otf,True,True,True
F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,F-3·2BF4,True,True,True
O=C(O)c1ccccc1I(=O)=O,I-1,True,True,False
O=Ic1ccccc1,I-2,True,True,False
O=C1OI(O)c2ccccc21,I-3,True,True,False
O=C1CCC(=O)N1Cl,NCS,True,True,True
O=C1c2ccccc2S(=O)(=O)N1Cl,Cl-1,True,False,False
CC1(C)C(=O)N(Cl)C(=O)N1Cl,Cl-2,True,False,False
COC(=O)NC(=NCl)NC(=O)OC,Cl-3,True,False,False
O=C1c2ccccc2C(=O)N1Cl,Cl-4,True,True,True
O=S(=O)([O-])OOS(=O)(=O)[O-].[K+].[K+],K2S2O8,True,True,False
O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O[O-].[K+],KHSO5·2H2SO4,True,True,False
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+].[NH4+],(NH4)2[Ce(NO3)6],True,False,False
F[B-](F)(F)F.[Ag+],AgBF4,True,False,False
