Formula,r+_in_crystal,r+_thermo,r-_thermo,z+,z-,z/r_+,z/r_-,lattice_energy
AgNO3,115,113,200,1,1,113,200,687.9421041
AlF3,54,57,126,3,1,19,126,6438.591776
AlCl3,54,57,168,3,1,19,168,5463.822222
AlBr3,54,57,190,3,1,19,190,5057.45054
Al2(SO4)3,54,57,218,3,2,19,109,11544
Al(NO3)3_9H2O,54,57,200,3,1,19,200,4891.368529
Al(OAc)3,54,57,194,3,1,19,194,4989.730322
Al(OTf)3,54,57,230,3,1,19,230,4451.067756
BaF2,135,143,200,2,1,71.5,200,1903.722089
BaCl2,135,143,168,2,1,71.5,168,2075.443802
BaBr2,135,143,190,2,1,71.5,190,1954.305657
BaCO3,135,143,189,2,2,71.5,94.5,2612.679634
Ba(NO3)2,135,143,200,2,1,71.5,200,1903.722089
BaSO4,135,143,218,2,2,71.5,109,2425.180899
BiOCl,103,103,168,1,1,103,168,779.3058373
BiCl3,103,103,168,3,1,34.33333333,168,4675.835024
Bi(OTf)3,103,103,230,3,1,34.33333333,230,3908.611314
Bi(OAc)3,103,103,194,3,1,34.33333333,194,4320.987654
Bi2(SO4)3,103,103,218,3,2,34.33333333,109,10093.02122
CaF2,100,106,126,2,1,53,126,2663.960315
CaCl2,100,106,168,2,1,53,168,2316.013107
CaBr2,100,106,190,2,1,53,190,2166.830259
CaCO3,100,106,189,2,2,53,94.5,2897.604137
CaSO4,100,106,218,2,2,53,109,2669.524463
Ca3(PO4)2,100,106,230,2,3,53,76.66666667,9694.276148
CeCl3,101,118,168,3,1,39.33333333,168,4464.497041
Co(NO3)3_6H2O,61,64,200,3,1,21.33333333,200,4781.25
CoCl2,75,82,168,2,1,41,168,2503.248
CoSO4,75,82,218,2,2,41,109,2855.6
Cr(NO3)3_9H2O,62,64,200,3,1,21.33333333,200,4781.25
CrCl3,62,53,168,3,1,17.66666667,168,5544.481071
CsCl,174,165,168,1,1,165,168,651.435219
CsBr,174,165,190,1,1,165,190,615.4413807
CsI,174,165,211,1,1,165,211,584.5617361
Cs2CO3,174,165,189,1,2,165,94.5,1850.976731
Cs2SO4,174,165,218,1,2,165,109,1724.812358
CuCl,60,95,168,1,1,95,168,799.4477295
CuBr,60,95,190,1,1,95,190,746.3342567
CuI,60,95,211,1,1,95,211,701.6852493
CuSO4_5H2O,73,72,218,2,2,36,109,2940.832342
Cu(NO3)2,73,72,200,2,1,36,200,2330.571475
CuCl2,57,72,168,2,1,36,168,2590.15625
CuBr2,57,72,190,2,1,36,190,2406.109784
Fe(NO3)3_9H2O,65,67,200,3,1,22.33333333,200,4735.513193
Fe2(SO4)3,65,67,218,3,2,22.33333333,109,11195.01385
FeBr2,78,82,190,2,1,41,190,2330.571475
FeCl2,78,82,168,2,1,41,168,2503.248
FeCl3,65,67,168,3,1,22.33333333,168,5271.634224
FeSO4,78,82,218,2,2,41,109,2855.6
GaCl3,62,62,168,3,1,20.66666667,168,5366.086957
Ga(OTf)3,62,62,230,3,1,20.66666667,230,4385.08632
KF,138,133,126,1,1,133,126,809.9014624
KCl,138,133,168,1,1,133,168,711.8354102
KBr,138,133,190,1,1,133,190,669.2003182
KI,138,133,211,1,1,133,211,632.9350324
KBO2,138,133,165,1,1,133,165,718.0645016
KBF4,138,133,205,1,1,133,205,642.895907
KHCO3,138,133,207,1,1,133,207,639.5415225
K2CO3,138,133,189,1,2,133,94.5,2013.087844
KNO3,138,133,200,1,1,133,200,651.435219
KNO2,138,133,187,1,1,133,187,674.7167969
KHSO4,138,133,221,1,1,133,221,616.9922436
K2SO4,138,133,218,1,2,133,109,1865.074147
KH2PO4,138,133,213,1,1,133,213,629.6819139
K3PO4,138,133,230,1,3,133,76.66666667,3619.834711
LaCl3,103,122,168,3,1,40.66666667,168,4411.248514
La(OTf)3,103,122,230,3,1,40.66666667,230,3720.703125
La(OAc)3,103,122,194,3,1,40.66666667,194,4093.274315
La2(SO4)3_8H2O,103,122,218,3,2,40.66666667,109,9593.122837
LiCl,76,78,168,1,1,78,168,845.7763236
LiBr,76,78,190,1,1,78,190,786.742593
Li2CO3,76,78,189,1,2,78,94.5,2367.756596
Li2C2O4,76,78,233,1,2,78,116.5,2075.443802
LiNO3,76,78,200,1,1,78,200,762.4734745
Li3PO4,76,78,230,1,1,78,230,697.7040816
MgF2,72,78,126,1,3,78,42,5913.927336
MgCl2,72,78,168,2,1,39,168,2537.328971
MgBr2,72,78,190,2,2,39,95,3146.970372
MgSiO3,72,78,195,2,2,39,97.5,3097.693515
MgSO4,72,78,218,2,1,39,218,2166.830259
Mg(NO3)2,72,78,200,2,1,39,200,2287.420423
Mn(NO3)2_6H2O,83,91,200,2,1,45.5,200,2199.064725
MnBr2,83,91,190,2,1,45.5,190,2266.422664
MnCl2,83,91,168,2,1,45.5,168,2429.704387
NaF,102,98,126,1,1,98,126,913.9628508
NaCl,102,98,168,1,1,98,168,791.7773758
NaBr,102,98,190,1,1,98,190,739.6195023
NaI,102,98,211,1,1,98,211,695.7300405
NaBO2,102,98,165,1,1,98,165,799.4477295
NaBF4,102,98,205,1,1,98,205,707.7410711
NaCOOH,102,98,200,1,1,98,200,718.0645016
NaOAc,102,98,194,1,1,98,194,730.84772
NaOTf,102,98,230,1,1,98,230,660.2004015
NaHCO3,102,98,207,1,1,98,207,703.6925558
Na2CO3,102,98,189,1,2,98,94.5,2225.533878
Na2C2O4,102,98,233,1,2,98,116.5,1964.741103
NaNO2,102,98,187,1,1,98,187,746.3342567
NaNO3,102,98,200,1,1,98,200,718.0645016
NaHSO4,102,98,221,1,1,98,221,676.5755054
Na2SO4,102,98,218,1,1,98,218,682.2123858
NaH2PO4,102,98,213,1,2,98,106.5,2075.443802
Na2HPO4,102,98,233,1,1,98,233,654.913701
Na3PO4,102,98,230,1,2,98,115,1980.601205
NH4F,136,136,126,1,1,136,126,802.0365946
NH4Cl,136,136,168,1,1,136,168,705.7111323
NH4Br,136,136,190,1,1,136,190,663.7716888
(NH4)2SO4,136,136,218,1,1,136,218,616.9922436
NH4HCO3,136,136,207,1,1,136,207,634.5740295
NH4NO3,136,136,200,1,1,136,200,646.2850765
Ni(NO3)2_6H2O,69,78,200,2,1,39,200,2287.420423
NiSO4,69,78,218,2,2,39,109,2889.107012
RbCl,161,149,168,1,1,149,168,680.3232195
RbBr,161,149,190,1,1,149,190,641.2143995
RbI,161,149,211,1,1,149,211,607.8009259
RbBO2,161,149,165,1,1,149,165,686.0217453
RbBF4,161,149,205,1,1,149,205,616.9922436
Rb2CO3,161,149,189,1,1,149,189,642.895907
RbNO3,161,149,200,1,1,149,200,624.8635069
Rb2SO4,161,149,218,1,2,149,109,1792.239901
SbCl3,76,90,168,3,1,30,168,4875.338021
Sb(OAc)3,76,90,194,3,1,30,194,4491.59393
Sb2(SO4)3,76,90,218,3,2,30,109,10465.56122
ScF3,75,83,126,3,1,27.66666667,126,5800.554017
ScCl3,75,83,168,3,1,27.66666667,168,4989.730322
Sc2(CO3)3_H2O,75,83,189,3,2,27.66666667,94.5,11652.85737
Sc2(SO4)3_8H2O,75,83,218,3,2,27.66666667,109,10677.53115
Sc(NO3)3_xH2O,75,83,200,3,1,27.66666667,200,4505.262895
Sc(OTf)3,75,83,230,3,1,27.66666667,230,4127.652625
SnCl2,69,74,168,2,1,37,168,2572.31405
SnCl4,69,74,168,4,1,18.5,168,8574.380165
SrF2,126,127,126,2,1,63.5,126,2478.26087
SrCl2,126,127,168,2,1,63.5,168,2173.203103
SrBr2,126,127,190,2,1,63.5,190,2040.969658
SrCO3,126,127,189,2,2,63.5,94.5,2728.849543
Sr(NO3)2,126,127,200,2,1,63.5,200,1985.943944
YF3,90,106,126,3,1,35.33333333,126,5327.92063
YCl3,90,106,168,3,1,35.33333333,168,4632.026213
Y(OTf)3,90,106,230,3,1,35.33333333,230,3877.710459
Y(OAc)3,90,106,194,3,1,35.33333333,194,4283.4
Y(NO3)3_6H2O,90,106,200,3,1,35.33333333,200,4210.111496
Y2(SO4)3_8H2O,90,106,218,3,2,35.33333333,109,10010.71674
ZnF2,74,83,126,2,1,41.5,126,2900.277008
ZnCl2,74,83,168,2,1,41.5,168,2494.865161
ZnBr2,74,83,190,2,1,41.5,190,2323.270136
ZnCO3,74,83,189,2,2,41.5,94.5,3107.428633
ZnSO4,74,83,218,2,2,41.5,109,2847.341641
Zn(OAc)2_2H2O,74,83,194,2,1,41.5,194,2294.504034
