solvent,ε0,nD,f(n2),DI,ES,ET,AN,DN,A,B,SPP,SB,SA,α,β,π*,δ,δd,δp,δh
DCE,10.36,1.4438,0.21,0.8,0.74,41.3,16.7,0,0.3,0.82,0.89,0.13,0.03,0,0.1,0.81,9.06,8.12,4.01,0.2
dioxane,2.25,1.4224,0.203,0.77,0.36,36,10.3,14.3,0.19,0.67,0.7,0.44,0,0,0.37,0.55,10.01,9.29,0.88,3.62
tBuOH,10.9,1.3877,0.189,0.72,0.69,43.7,27.1,38,0.45,0.5,0.83,0.93,0.15,0.42,0.93,0.41,10.62,7.4,2.5,7.2
CH3CN,38.8,1.3441,0.175,0.67,0.84,45.6,18.9,14.1,0.37,0.86,0.9,0.29,0.04,0.19,0.4,0.75,11.93,7.48,8.8,2.98
Benzene,2.28,1.5011,0.228,0.87,0.23,34.3,8.2,0.1,0.15,0.59,0.67,0.12,0,0,0.1,0.59,9.05,9,0,0.98
PhCl,5.62,1.525,0.234,0.89,0.41,36.8,7.3,3.3,0.2,0.65,0.82,0.18,0,0,0.07,0.71,9.57,9.28,2.1,1
CHCl3,4.81,1.4458,0.211,0.8,0.4,39.1,23.1,4,0.42,0.73,0.79,0.07,0.05,0.2,0.1,0.58,9.26,8.7,1.52,2.79
Cyhex,1.88,1.4262,0.204,0.78,0,30.9,0,0,0.02,0.06,0.56,0.07,0,0,0,0,8.21,8.21,0,0.1
DCM,8.93,1.4241,0.203,0.78,0.6,40.7,20.4,1,0.33,0.8,0.88,0.18,0.04,0.13,0.1,0.82,9.88,8.9,3.08,2.98
Et2O,4.33,1.3524,0.178,0.68,0.26,34.5,3.9,19.2,0.12,0.34,0.69,0.56,0,0,0.47,0.27,7.65,7.09,1.42,2.49
EtOH,24.5,1.3614,0.181,0.69,0.8,51.9,37.9,19.2,0.66,0.45,0.85,0.66,0.4,0.86,0.75,0.54,12.97,7.73,4.3,9.48
EtOAc,6.4,1.3724,0.185,0.71,0.51,38.1,9.3,17.1,0.21,0.59,0.8,0.54,0,0,0.45,0.55,8.87,7.72,2.59,3.52
MeOH,32.6,1.3284,0.169,0.64,0.84,55.4,41.5,19,0.75,0.5,0.86,0.55,0.61,0.98,0.66,0.6,14.49,7.42,6.01,10.9
DMSO,46.68,1.4793,0.2209,0.84,1,45.1,19.3,29.8,0.34,1.08,1,0.65,0.07,0,0.76,1,13.05,9,8.02,4.99
DMF,36.71,1.4305,0.205,0.78,0.87,43.8,16,26.6,0.3,0.93,0.95,0.61,0.03,0,0.69,0.88,12.16,8.51,6.7,5.52
iPrOH,19.92,1.3772,0.187,0.71,0.77,49.2,33.5,21.1,0.59,0.44,0.85,0.83,0.28,0.76,0.84,0.48,11.52,7.72,2.98,8.02
acetone,21.4,1.3586,0.18,0.69,0.78,42.2,12.5,17,0.25,0.81,0.88,0.48,0,0.08,0.43,0.71,9.74,7.58,5.08,3.42
Py,12.5,1.5102,0.23,0.88,0.67,40.5,14.2,33.1,0.24,0.96,0.92,0.58,0.03,0,0.64,0.87,10.63,9.29,4.3,2.88
CCl4,2.24,1.4601,0.215,0.82,0.1,32.4,8.6,0,0.09,0.34,0.63,0.04,0,0,0.1,0.28,8.7,8.7,0,0.29
THF,7.58,1.4072,0.197,0.75,0.47,37.4,8,20,0.17,0.67,0.84,0.59,0,0,0.55,0.58,9.51,8.21,2.79,3.91
Toluene,2.38,1.4969,0.226,0.86,0.2,33.9,1.8,0.1,0.13,0.54,0.66,0.13,0,0,0.11,0.54,8.88,8.8,0.68,0.98
