section,no,name,cn_name,en_name,abbr,formula,smiles,cas,density_g_ml
chiral_amine,1,(S)-(+)-1-(2-Pyrrolidinylmethyl)pyrrolidine,(S)-1-(2-吡咯烷甲基) 吡咯烷,(S)-(+)-1-(2-Pyrrolidinylmethyl)pyrrolidine,,,C1CCN(C1)C[C@@H]2CCCN2,51207-66-0,
chiral_amine,2,(S)-pyrrolidin-3-ol,(S)-3-羟基吡咯烷,(S)-pyrrolidin-3-ol,,,C1CNC[C@H]1O,100243-39-8,
chiral_amine,3,(S)-pyrrolidin-3-ol hydrochloride,(S)-3-羟基吡咯烷盐酸盐,(S)-pyrrolidin-3-ol hydrochloride,,,C1CNC[C@H]1O.Cl,122536-94-1,
chiral_amine,4,(S)-2-(pyrrolidin-2-yl)propan-2-ol,(S)-2-(吡咯烷-2-基)丙-2-醇,(S)-2-(pyrrolidin-2-yl)propan-2-ol,,,CC(C)([C@@H]1CCCN1)O,92053-25-3,
chiral_amine,5,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol","(S)-α,α-二苯基脯氨醇","(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",,,C1C[C@H](NC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,112068-01-6,
chiral_amine,6,"(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol","(S)-α,α-双(3,5-双(三氟甲基)苯基)-2-吡咯烷甲醇","(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol",,,C1C[C@H](NC1)C(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)O,848821-76-1,
chiral_amine,7,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol","(S)-α,α-双(3,5-二甲基苯基)-2-吡咯烷甲醇","(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",,,CC1=CC(=CC(=C1)C([C@@H]2CCCN2)(C3=CC(=CC(=C3)C)C)O)C,131180-63-7,
chiral_amine,8,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,(S)-吡咯烷-2-基-对-甲苯基甲醇,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,,,CC1=CC=C(C=C1)C([C@@H]2CCCN2)(C3=CC=C(C=C3)C)O,131180-52-4,
chiral_amine,9,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,(S)-双(4-甲氧基苯基)(吡咯烷-2-基)甲醇,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,,,COC1=CC=C(C=C1)C([C@@H]2CCCN2)(C3=CC=C(C=C3)OC)O,131180-57-9,
chiral_amine,10,(S)-Pyrrolidin-2-ylbis(4-(trifluoromethyl)phenyl)methanol,(S)-吡咯烷-2-基双(4-(三氟甲基)苯基)甲醇,(S)-Pyrrolidin-2-ylbis(4-(trifluoromethyl)phenyl)methanol,,C19H17F6NO,C1C[C@H](NC1)C(C2=CC=C(C=C2)C(F)(F)F)(C3=CC=C(C=C3)C(F)(F)F)O,131180-65-9,
chiral_amine,11,(S)-Di(naphthalen-2-yl)(pyrrolidin-2-yl)methanol,(S)-二(萘-2-基)(吡咯烷-2-基)甲醇,(S)-Di(naphthalen-2-yl)(pyrrolidin-2-yl)methanol,,,C1C[C@H](NC1)C(C2=CC3=CC=CC=C3C=C2)(C4=CC5=CC=CC=C5C=C4)O,127986-84-9,
chiral_amine,12,"(S)-(–)-α,α-Diphenyl-2-pyrrolidinemethanol trimethylsilyl ether",(2S)-2-(二苯基((三甲基硅酯)氧基)甲基)吡咯烷,"(S)-(–)-α,α-Diphenyl-2-pyrrolidinemethanol trimethylsilyl ether",,,C[Si](C)(C)OC([C@@H]1CCCN1)(C2=CC=CC=C2)C3=CC=CC=C3,848821-58-9,
chiral_amine,13,(S)-2-(Methoxydiphenylmethyl)pyrrolidine,(S)-2-(甲氧基二苯甲基)吡咯烷,(S)-2-(Methoxydiphenylmethyl)pyrrolidine,,,COC([C@@H]1CCCN1)(C2=CC=CC=C2)C3=CC=CC=C3,118971-03-2,
chiral_amine,14,L-Prolinanilide,(S)-N-苯基吡咯烷-2-甲酰胺,L-Prolinanilide,,,C1C[C@H](NC1)C(=O)NC2=CC=CC=C2,64030-43-9,
chiral_amine,15,L-Prolinamide,L-脯氨酰胺,L-Prolinamide,,,C1C[C@H](NC1)C(=O)N,7531-52-4,
chiral_amine,16,(S)-Pyrrolidine-2-carboxamide monohydrochloride,L-脯氨酰胺盐酸盐,(S)-Pyrrolidine-2-carboxamide monohydrochloride,,,C1C[C@H](NC1)C(=O)N.Cl,42429-27-6,
chiral_amine,17,"(R)-N-(2,6-dimethylphenyl)piperidine-2-carboxamide","(R)-N-(2,6-二甲基苯基)哌啶-2-甲酰胺","(R)-N-(2,6-dimethylphenyl)piperidine-2-carboxamide",,,CC1=C(C(=CC=C1)C)NC(=O)[C@H]2CCCCN2,27262-43-7,
chiral_amine,18,methyl L-prolinate hydrochloride,L-脯氨酸甲酯盐酸盐,methyl L-prolinate hydrochloride,,,COC(=O)[C@@H]1CCCN1.Cl,2133-40-6,
chiral_amine,19,4-Hydroxy-L-proline methyl ester hydrochloride,反式-4-羟基-L-脯氨酸甲酯 盐酸盐,4-Hydroxy-L-proline methyl ester hydrochloride,,,COC(=O)[C@@H]1C[C@H](CN1)O.Cl,40216-83-9,
chiral_amine,20,(R)-piperidin-2-ylmethanol,(R)-2-哌啶甲醇,(R)-piperidin-2-ylmethanol,,,C1CCN[C@H](C1)CO,3197-44-2,
chiral_amine,21,tert-Butyl (3R)-3-(hydroxymethyl)piperazine-1-carboxylate,(R)-1-Boc-3-羟甲基哌嗪,tert-Butyl (3R)-3-(hydroxymethyl)piperazine-1-carboxylate,,,CC(C)(C)OC(=O)N1CCN[C@H](C1)CO,278788-66-2,
solvent,1,Ethyl Acetate,乙酸乙酯,Ethyl Acetate,EtOAc,,CCOC(=O)C,141-78-6,
solvent,2,Dimethyl sulfoxide,二甲亚砜,Dimethyl sulfoxide,DMSO,,CS(=O)C,67-68-5,
solvent,3,Acetone,丙酮,Acetone,Acetone,,CC(=O)C,67-64-1,
solvent,4,Dimethylformamide,"N,N-二甲基甲酰胺",Dimethylformamide,DMF,,CN(C)C=O,68-12-2,
solvent,5,N-methyl-2-pyrrolidone,1-甲基-2-吡咯烷酮,N-methyl-2-pyrrolidone,NMP,,CN1CCCC1=O,872-50-4,
solvent,6,Acetonitrile,乙腈,Acetonitrile,MeCN,,CC#N,75-05-8,
solvent,7,"1,4-Dioxane","1,4-二氧六环","1,4-Dioxane",Dioxane,,C1COCCO1,123-91-1,
solvent,8,Tetrahydrofuran,四氢呋喃,Tetrahydrofuran,THF,,C1CCOC1,109-99-9,
solvent,9,Benzene,苯,Benzene,Benzene,,C1=CC=CC=C1,71-43-2,
solvent,10,Toluene,甲苯,Toluene,Tol,,CC1=CC=CC=C1,108-88-3,
solvent,11,Chlorobenzene,氯苯,Chlorobenzene,PhCl,,ClC1=CC=CC=C1,108-90-7,
solvent,12,"1,2-Dichloroethane","1,2-二氯乙烷","1,2-Dichloroethane",DCE,,C(CCl)Cl,107-06-2,
solvent,13,Methanol,甲醇,Methanol,MeOH,,CO,67-56-1,
solvent,14,Ethanol,乙醇,Ethanol,EtOH,,CCO,64-17-5,
solvent,15,Isopropanol,异丙醇,Isopropanol,iPrOH,,CC(C)O,67-63-0,
solvent,16,tert-Butanol,叔丁醇,tert-Butanol,tBuOH,,CC(C)(C)O,75-65-0,
solvent,17,"1,1,1,3,3,3-Hexafluoro-2-propanol",六氟异丙醇,"1,1,1,3,3,3-Hexafluoro-2-propanol",HFIP,,C(C(F)(F)F)(C(F)(F)F)O,920-66-1,
solvent,18,"2,2,2-Trifluoroethanol",三氟乙醇,"2,2,2-Trifluoroethanol",TFE,,C(C(F)(F)F)O,75-89-8,
metal_salt,1,ScCl3,,,,ScCl3,,10361-84-9,
metal_salt,2,Sc(OTf)3,,,,Sc(OTf)3,,144026-79-9,
metal_salt,3,YCl3,,,,YCl3,,10361-92-9,
metal_salt,4,TiCl4,,,,TiCl4,,7550-45-0,
metal_salt,5,Ti[O(i-Pr)]4,,,,Ti[O(i-Pr)]4,,546-68-9,
metal_salt,6,ZrCl4,,,,ZrCl4,,10026-11-6,
metal_salt,7,Zr(cp)2Cl2,,,,Zr(cp)2Cl2,,1291-32-3,
metal_salt,8,HfCl4,,,,HfCl4,,13499-05-3,
metal_salt,9,Hf(acac)4,,,,Hf(acac)4,,17475-67-1,
metal_salt,10,VCl3,,,,VCl3,,7718-98-1,
metal_salt,11,VOCl3,,,,VOCl3,,7727-18-6,
metal_salt,12,NbCl5,,,,NbCl5,,10026-12-7,
metal_salt,13,TaCl5,,,,TaCl5,,7721-01-9,
metal_salt,14,CrCl2,,,,CrCl2,,10049-05-5,
metal_salt,15,CrCl3,,,,CrCl3,,10025-73-7,
metal_salt,16,Cr(acac)3,,,,Cr(acac)3,,21679-31-2,
metal_salt,17,MoCl3,,,,MoCl3,,13478-18-7,
metal_salt,18,MoCl5,,,,MoCl5,,10241-05-1,
metal_salt,19,WCl5,,,,WCl5,,13470-14-9,
metal_salt,20,WCl6,,,,WCl6,,13283-01-7,
metal_salt,21,MnCl2,,,,MnCl2,,7773-01-5,
metal_salt,22,Mn(OTf)2,,,,Mn(OTf)2,,55120-76-8,
metal_salt,23,Mn(acac)3,,,,Mn(acac)3,,14284-89-0,
metal_salt,24,CoCl2,,,,CoCl2,,7646-79-9,
metal_salt,25,CoI2,,,,CoI2,,15238-00-3,
metal_salt,26,Co(acac)2,,,,Co(acac)2,,14024-48-7,
metal_salt,27,Co(PPh3)2Cl2,,,,Co(PPh3)2Cl2,,14126-40-0,
metal_salt,28,FeCl2,,,,FeCl2,,7758-94-3,
metal_salt,29,FeCl3,,,,FeCl3,,7705-08-0,
metal_salt,30,FeBr2,,,,FeBr2,,7789-46-0,
metal_salt,31,FeBr3,,,,FeBr3,,10031-26-2,
metal_salt,32,FeI2,,,,FeI2,,7783-86-0,
metal_salt,33,FeF3,,,,FeF3,,7783-50-8,
metal_salt,34,NiF2,,,,NiF2,,10028-18-9,
metal_salt,35,NiCl2,,,,NiCl2,,7718-54-9,
metal_salt,36,NiBr2,,,,NiBr2,,13462-88-9,
metal_salt,37,NiBr2(PPh3)3,,,,NiBr2(PPh3)3,,14126-37-5,
metal_salt,38,Ni(DME)Br2,,,,Ni(DME)Br2,,28923-39-9,
metal_salt,39,Ni(dppp)Br2,,,,Ni(dppp)Br2,,15629-92-2,
metal_salt,40,PdCl2,,,,PdCl2,,7647-10-1,
metal_salt,41,Pd(OAc)2,,,,Pd(OAc)2,,3375-31-3,
metal_salt,42,Pd(bpy)Cl2,,,,Pd(bpy)Cl2,,14871-92-2,
